Fri Jun 11 23:24:16 BRT 2021 - Log - Iniciou a aplicacao1

Mon Jun 14 04:23:45 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:49 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:53 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:57 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:01 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:06 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:10 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:15 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:19 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:23 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:27 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:30 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:34 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:39 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:43 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:48 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:53 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:24:56 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:00 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:05 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:09 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:14 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:18 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:22 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:26 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:31 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:35 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:40 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:44 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:48 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:52 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:55 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:25:59 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:03 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:07 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:11 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:15 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:19 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:22 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:26 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:30 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:35 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:39 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:43 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:47 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:51 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:54 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:26:58 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:02 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:06 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:11 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:15 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:19 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:23 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:27 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:32 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:36 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:40 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:44 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:48 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:53 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:27:57 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:02 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:07 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:11 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:14 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:18 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:22 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:26 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:30 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:35 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:39 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:42 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:46 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:51 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:55 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:28:59 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:29:03 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:29:07 BRT 2021 - Log - Inseriu os dados da CPU
